Objects
100
,,Global Angle 111:111,,,,,,Global Angle 222:222,,,,,,Global Angle SIngleMarker:SIngleMarker,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,2.5909,1.69496,-1.5364,-262.805,133.388,715.316,-0.159393,0.317781,-1.34592,-271.112,98.4923,828.611,-0.171388,1.58112,0.162513,-206.884,125.119,709.888
2,0,2.59248,1.69426,-1.53635,-262.791,133.438,715.312,-0.159585,0.317956,-1.34596,-271.099,98.5024,828.598,-0.171407,1.5819,0.162619,-206.898,125.129,709.856
3,0,2.59308,1.69342,-1.53765,-262.825,133.44,715.285,-0.159584,0.318364,-1.34608,-271.086,98.5122,828.561,-0.174325,1.58301,0.164409,-206.969,125.138,709.759
4,0,2.59225,1.6937,-1.53786,-262.819,133.466,715.209,-0.15952,0.318357,-1.34608,-271.078,98.5209,828.507,-0.171122,1.58222,0.162687,-206.933,125.174,709.737
5,0,2.59223,1.69363,-1.53754,-262.789,133.508,715.136,-0.156119,0.318576,-1.34564,-271.008,98.4931,828.367,-0.171359,1.58202,0.162857,-206.93,125.195,709.69
6,0,2.59169,1.69486,-1.53685,-262.805,133.476,715.127,-0.15617,0.31828,-1.34553,-271.002,98.5102,828.325,-0.171547,1.58214,0.162715,-206.923,125.203,709.661
7,0,2.59114,1.69351,-1.53819,-262.816,133.468,715.068,-0.156174,0.318036,-1.34557,-271.013,98.5196,828.268,-0.171621,1.58201,0.162578,-206.918,125.2,709.603
8,0,2.59167,1.6927,-1.53807,-262.814,133.48,715.005,-0.159826,0.317692,-1.34596,-271.07,98.5843,828.319,-0.171873,1.58221,0.162707,-206.922,125.214,709.547
9,0,2.5906,1.69412,-1.53762,-262.816,133.497,714.977,-0.160123,0.317776,-1.34585,-271.051,98.5993,828.291,-0.175092,1.58354,0.164321,-206.953,125.212,709.451
10,0,2.59151,1.69389,-1.53707,-262.804,133.514,714.918,-0.160184,0.317674,-1.346,-271.03,98.5959,828.252,-0.171789,1.58291,0.162621,-206.925,125.214,709.45
11,0,2.5911,1.69392,-1.53765,-262.777,133.563,714.857,-0.156536,0.318201,-1.34555,-270.951,98.5669,828.13,-0.17487,1.58427,0.164522,-206.96,125.222,709.362
12,0,2.59163,1.69404,-1.5369,-262.788,133.556,714.866,-0.16009,0.318258,-1.34577,-270.989,98.6143,828.205,-0.17191,1.58311,0.162545,-206.921,125.238,709.375
13,0,2.59078,1.69428,-1.53792,-262.784,133.575,714.874,-0.1603,0.318213,-1.34566,-270.985,98.6171,828.211,-0.17231,1.58321,0.162704,-206.929,125.251,709.379
14,0,2.58949,1.69449,-1.53734,-262.823,133.521,714.869,-0.160445,0.318171,-1.34566,-270.981,98.6135,828.215,-0.172034,1.58295,0.162694,-206.922,125.248,709.393
15,0,2.59099,1.69406,-1.53813,-262.825,133.505,714.87,-0.160416,0.317927,-1.34558,-270.987,98.6046,828.213,-0.172005,1.58313,0.162562,-206.924,125.239,709.388
16,0,2.59089,1.69313,-1.53839,-262.761,133.52,714.852,-0.160428,0.318153,-1.34578,-270.968,98.5933,828.227,-0.174984,1.58435,0.164282,-206.94,125.208,709.352
17,0,2.59016,1.69314,-1.53907,-262.775,133.47,714.933,-0.15713,0.31786,-1.34537,-270.893,98.5434,828.149,-0.171724,1.5831,0.162122,-206.876,125.177,709.418
18,0,2.59072,1.69343,-1.53778,-262.759,133.432,714.924,-0.160642,0.318022,-1.34586,-270.945,98.5562,828.274,-0.17199,1.58317,0.162125,-206.868,125.133,709.447
19,0,2.5916,1.69304,-1.53743,-262.694,133.402,714.935,-0.161096,0.317769,-1.34575,-270.933,98.5427,828.315,-0.175679,1.58454,0.163628,-206.882,125.067,709.431
20,0,2.5883,1.69341,-1.53945,-262.72,133.284,715.026,-0.15778,0.31746,-1.34544,-270.852,98.4957,828.263,-0.172998,1.58351,0.161851,-206.804,125.021,709.525
21,0,2.58857,1.69382,-1.53782,-262.685,133.261,715.04,-0.161053,0.317126,-1.34578,-270.906,98.5119,828.386,-0.173029,1.58312,0.161532,-206.765,124.983,709.564
